Фото;Комнат;Метро;До ближайшего метро;Адрес;Дом;Full Address;Latitude;Longitude;Этаж/Этажность;Общая площадь;Жилая площадь;Кухня;Балкон;Лифт;Телефон;Санузел;Альтернатива;Цена в рублях;Цена в рублях за метр;Телефоны;Дата обновления;ИНКОМ;Источник
12;1;ВДНХ;15п;Москва, Бориса Галушкина ул.;20;Москва, Бориса Галушкина ул. 20 ;55.8225658;37.6588859;4/8;30;18;5;Б;П;Нет;Р;Нет;9400000;313333;+7(495)363-0181;01.11.2022 8:00:58;Да;Авито, Циан, Инком, Яндекс
9;1;Алексеевская;12п;Москва, 1-й Рижский пер.;2 корпус 7;Москва, 1-й Рижский пер. 2 корпус 7 ;55.8081263;37.6534931;10/12;32,9;19,9;9,7;Бст;2П;Да;С;Нет;11250000;341945;+7(495)363-0855;01.11.2022 8:00:11;Да;Авито, Циан, Инком
16;2;ВДНХ;10п;Москва, Кибальчича ул.;11 корпус 3;Москва, Кибальчича ул. 11 корпус 3 ;55.8170996;37.6514276;5/5;43,8;28,5;5,9;Б;-;Да;С;Да;12700000;289954;+7(495)363-0181;01.11.2022 7:58:51;Да;Авито, Циан, ДомКлик, Инком, Яндекс
22;2;ВДНХ;15п;Москва, Касаткина ул.;20;Москва, Касаткина ул. 20 ;55.8231788;37.664885;8/8;52;29,8;6,1;Б;П;Нет;Р;Да;15500000;298077;+7(495)228-8890;01.11.2022 7:57:39;Да;Авито, Циан, Инком
24;1;Алексеевская;11п;Москва, Новоалексеевская ул.;16 корпус 4;Москва, Новоалексеевская ул. 16 корпус 4 ;55.80722050000001;37.6468657;17/17;36;13,1;11;-;ПГ;Нет;С;Нет;16600000;461111;+7(495)363-0181;01.11.2022 8:03:26;Да;Авито, Циан, Инком
26;2;ВДНХ, Алексеевская;20п;Москва, Павла Корчагина ул.;16;Москва, Павла Корчагина ул. 16 ;55.817635;37.6618203;9/9;40;21;6,3;Л;П;;С;Нет;16650000;416250;+7(495)363-0181;01.11.2022 8:03:26;Да;Авито, Циан, ДомКлик, Инком
13;3;Алексеевская;14п;Москва, 1-й Рижский пер.;2 корпус 1;Москва, 1-й Рижский пер. 2 корпус 1 ;55.8092558;37.6548196;3/5;72;52,5;7,8;Б;-;Да;Р;Да;16900000;234722;+7(495)363-0181;01.11.2022 8:00:05;Да;Авито, Циан, Инком, Яндекс
15;2;Алексеевская, ВДНХ;20п;Москва, Павла Корчагина ул.;10;Москва, Павла Корчагина ул. 10 ;55.8147612;37.65826;3/8;53,7;33,3;8,1;Б;П;Нет;Р;Да;17000000;316574;+7(495)363-0181;01.11.2022 7:59:57;Да;Авито, Циан, ДомКлик, Инком, Яндекс
13;2;Алексеевская;2п;Москва, Мира пр-т.;114А;Москва, Мира пр-т. 114А ;55.8086918;37.6393388;2/9;53,3;32,3;7;Б;П;Нет;Р;Нет;18000000;337711;+7(495)363-0181;01.11.2022 8:04:48;Да;Авито, Циан, ДомКлик, Инком
23;2;Алексеевская, ВДНХ;7п;Москва, Староалексеевская ул.;3;Москва, Староалексеевская ул. 3 ;55.8103396;37.64412780000001;8/20;58,1;33;11;Л;ПГ;Нет;Р;Да;20500000;352840;+7(495)363-0181;01.11.2022 8:07:19;Да;Авито, Циан, ДомКлик, Инком
